Month,PM2.5,PM10,Temp_Avg,DryBulbTemp_Avg,RH_Avg,Rain_Total,SunH_Avg,AirPressure_Avg
January,198,412,17.9,16.5,77,0,7.4,1016.7
February,174,359,20.4,19.3,77,46,7.3,1014.6
March,157,303,24.7,24,69,67,7.8,1011.2
April,85,181,28.7,27.9,76,114,7.1,1007.8
May,69,148,30.8,30.3,78,147,7.5,1003.8
June,64,131,31.1,30.5,80,121,6,1001.1
July,53,116,30.5,29.5,85,262,4.5,1000
August,50,103,30.7,30,84,114,5.6,1000.8
September,46,99,29.8,28.7,87,187,4.7,1006.5
October,71,156,27.2,26.3,85,174,6.2,1011.1
November,129,266,24.1,23,82,3,6.5,1012.8
December,177,369,18.4,17.3,82,0,3.8,1016.6
